pass2_index,assigned_agent,paper_id,paper_title,first_pass_classification,source_lane,paper_name,id,abstract,triage_label,lanes,lane_count,triage_labels_by_lane,mechanisms_by_lane,why_it_matters_by_lane,follow_up_by_lane,corpus_stages,authors,year,source_ids,primary_id,source_paper_id,categories,queries,discovery_methods,designations,primary_readers,metadata_verified_any,body_inspected_any,evidence_read_any,triage_disagreement,source_registry_paths,source_triage_paths
250,1,769621927471387745,Automated Cause Analysis of Latency Outliers Using System-Level Dependency Graphs,HIGH,B3 | B7,Automated Cause Analysis of Latency Outliers Using System-Level Dependency Graphs,arxiv:2207.06515,"Detecting performance issues and identifying their root causes in the runtime is a challenging task. Typically, developers use methods such as logging and tracing to identify bottlenecks. These solutions are, however, not ideal as they are time-consuming and require manual effort. In this paper, we propose a method to automate the task of detecting latency outliers using system-level traces and then comparing them to identify the root cause(s). Our method makes use of dependency graphs to show internal interactions between threads and system resources. With these graphs, one can pinpoint where performance issues occur. However, a single trace can be composed of a large number of requests, each generating one graph. To automate the task of identifying outliers within the dataset, we use machine learning density-based models and statistical calculations such as -score. Our evaluation shows an accuracy greater than 97 % on outlier detection, making them appropriate for in-production servers and industry-level use cases.",high,B3 | B7,2,B3=high | B7=high,B3=Uses system-level dependency graphs and statistical outlier detection to pinpoint latency causes across threads and resources. | B7=Builds dependency graphs from system traces and uses outlier detection to localize latency causes across threads/resources.,B3=Direct method for first-divergence and latency-outlier localization in a distributed runtime. | B7=It directly supplies automated root-cause localization for rare robot episode tails.,B3=true | B7=true,expansion_round_1 | primary_assignment,,2022,arxiv:2207.06515,arxiv:2207.06515,769621927471387745,,02-critical-path | 13-causal-profiling | 14-async-critical | 16-ros2-causal | 32-dynamic-causality | 35-classic-tracing,firecrawl research search-papers,,B3 | B7,false,false,false,false,b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/expansion-registry.json | b3/follow-up-manifest.jsonl | b3/inspection-evidence.jsonl | b3/raw-q02-critical-path.json | b3/raw-q13-causal-profiling.json | b3/raw-q14-async-critical.json | b3/raw-q16-ros2-causal.json | b3/raw-q32-dynamic-causality.json | b3/raw-q35-classic-tracing.json | b3/read-evidence-manifest.jsonl | b3/registry.json | b7/expansion/expansion-registry-final.json | b7/expansion/expansion-registry.json | b8/canonical-registry.json | b8/raw/mechanism-03.json,b3/triage.jsonl | b7/expansion-additions-triage.jsonl
251,2,6872174244495664444,Open Tracing Tools: Overview and Critical Comparison,MEDIUM,B2,Open Tracing Tools: Overview and Critical Comparison,arxiv:2207.06875,"Background. Coping with the rapid growing complexity in contemporary software architecture, tracing has become an increasingly critical practice and been adopted widely by software engineers. By adopting tracing tools, practitioners are able to monitor, debug, and optimize distributed software architectures easily. However, with excessive number of valid candidates, researchers and practitioners have a hard time finding and selecting the suitable tracing tools by systematically considering their features and advantages.Objective. To such a purpose, this paper aims to provide an overview of pop",medium,B2,1,B2=medium,"B2=Compares tracing-tool support for context propagation, visualization, and distributed debugging.",B2=Maps implementation choices and gaps relevant to selecting an episode provenance stack.,B2=false,primary_assignment,Andrea Janes | Xiaozhou Li | Valentina Lenarduzzi,2022,,,6872174244495664444,cs.SE,q02-identifiers,semantic-search,general,B2,false,false,false,false,b2/raw-q02-identifiers.txt | b2/registry-final.json | b2/registry.json,b2/triage-final.jsonl | b2/triage.jsonl
252,3,5041264122573570510,A Novel Rapid-flooding Approach with Real-time Delay Compensation for Wireless Sensor Network Time Synchronization,MEDIUM,B5,A Novel Rapid-flooding Approach with Real-time Delay Compensation for Wireless Sensor Network Time Synchronization,arxiv:2207.11402,"One-way-broadcast based flooding time synchronization algorithms are commonly used in wireless sensor networks (WSNs). However, the packet delay and clock drift pose challenges to accuracy, as they entail serious by-hop error accumulation problems in the WSNs. To overcome it, a rapid flooding multi-broadcast time synchronization with real-time delay compensation (RDC-RMTS) is proposed in this paper. By using a rapid-flooding protocol, flooding latency of the referenced time information is significantly reduced in the RDC-RMTS. In addition, a new joint clock skew-offset maximum likelihood estimation is developed to obtain the accurate clock parameter estimations, and the real-time packet delay estimation. Moreover, an innovative implementation of the RDC-RMTS is designed with an adaptive clock offset estimation. The experimental results indicate that, the RDC-RMTS can easily reduce the variable delay and significantly slow the growth of by-hop error accumulation. Thus, the proposed RDC-RMTS can achieve accurate time synchronization in large-scale complex WSNs.",medium,B5,1,B5=medium,"B5=The abstract links sensor, observation, action, actuator, or telemetry transport behavior to a robotic episode or control outcome.","B5=It supplies a transferable diagnostic or design hypothesis for detecting transport-induced loss, duplication, reordering, staleness, timing error, or observation/action mismatch in the Reflex episode loop.",B5=true,primary_assignment,"Fanrong Shi, Simon X. Yang, Xianguo Tuo, Lili Ran, Yuqing Huang",2022,arxiv:2207.11402,arxiv:2207.11402,5041264122573570510,,q20-mech-timing,firecrawl research search-papers,,B5,false,false,false,false,b1/canonical-registry.jsonl | b1/raw-q08-embedded.json | b5/assigned-paper-manifest.json | b5/assigned-paper-manifest.jsonl | b5/canonical-registry.jsonl | b5/evidence-digest.jsonl | b5/raw-retrieval/q20-mech-timing.json | b7/canonical-registry.json | b7/raw-retrieval/q14-mechanism-clock.json | b8/canonical-registry.json | b8/raw/mechanism-02.json,b5/abstract-triage.jsonl
253,4,5043095908945791586,MISO: Exploiting Multi-Instance GPU Capability on Multi-Tenant Systems for Machine Learning,HIGH,B6,MISO: Exploiting Multi-Instance GPU Capability on Multi-Tenant Systems for Machine Learning,arxiv:2207.11428,"GPU technology has been improving at an expedited pace in terms of size and performance, empowering HPC and AI/ML researchers to advance the scientific discovery process. However, this also leads to inefficient resource usage, as most GPU workloads, including complicated AI/ML models, are not able to utilize the GPU resources to their fullest extent -- encouraging support for GPU multi-tenancy. We propose MISO, a technique to exploit the Multi-Instance GPU (MIG) capability on the latest NVIDIA datacenter GPUs (e.g., A100, H100) to dynamically partition GPU resources among co-located jobs. MISO's key insight is to use the lightweight, more flexible Multi-Process Service (MPS) capability to predict the best MIG partition allocation for different jobs, without incurring the overhead of implementing them during exploration. Due to its ability to utilize GPU resources more efficiently, MISO achieves 49% and 16% lower average job completion time than the unpartitioned and optimal static GPU partition schemes, respectively.",high,B6,1,B6=high,"B6=The abstract describes concurrent accelerator workloads and resource isolation, partitioning, or interference-aware scheduling as the latency mechanism.",B6=It provides a basis for distinguishing accelerator contention and interference from intrinsic model latency.,B6=true,primary_assignment,"Baolin Li, Tirthak Patel, Siddarth Samsi, Vijay Gadepally, Devesh Tiwari",,arxiv:2207.11428,arxiv:2207.11428,5043095908945791586,cs.AR | cs.DC,q14,firecrawl research search-papers,false,B6,false,true,false,false,b4/raw-retrieval/q16-multi-tenant-GPU-contention.json | b6/assigned-evidence-index.jsonl | b6/assigned-paper-manifest.jsonl | b6/assigned-registry.jsonl | b6/canonical-registry.json | b6/canonical-registry.jsonl | b6/follow-up-manifest.jsonl | b6/inspection-evidence.jsonl | b6/inspection-manifest.jsonl | b6/raw-retrieval/q14-mechanism-contention.json | b6/read-evidence-manifest.jsonl,b6/abstract-triage-inherited-89.jsonl | b6/abstract-triage.jsonl | b6/assigned-paper-manifest.jsonl
254,5,5218629784363288913,SROS2: Usable Cyber Security Tools for ROS 2,HIGH,B8,SROS2: Usable Cyber Security Tools for ROS 2,arxiv:2208.02615,"ROS 2 is rapidly becoming a standard in the robotics industry. Built upon DDS as its default communication middleware and used in safety-critical scenarios, adding security to robots and ROS computational graphs is increasingly becoming a concern. The present work introduces SROS2, a series of developer tools and libraries that facilitate adding security to ROS 2 graphs. Focusing on a usability-centric approach in SROS2, we present a methodology for securing graphs systematically while following the DevSecOps model. We also demonstrate the use of our security tools by presenting an application case study that considers securing a graph using the popular Navigation2 and SLAM Toolbox stacks applied in a TurtleBot3 robot. We analyse the current capabilities of SROS2 and discuss the shortcomings, which provides insights for future contributions and extensions. Ultimately, we present SROS2 as usable security tools for ROS 2 and argue that without usability, security in robotics will be greatly impaired.",high,B8,1,B8=high,B8=Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.,"B8=It may add a reusable observability, replay, timing, or failure-injection mechanism to the B8 evidence family.",B8=true,expansion_round_1,,2022,2208.02615 | 5218629784363288913 | arxiv:2208.02615,arxiv:2208.02615,5218629784363288913,,,,,B8,false,false,false,false,b1/expansion/expansion-manifest.jsonl | b5/canonical-registry.jsonl | b5/raw-retrieval/q13-mech-qos.json | b7/expansion/expansion-registry-final.json | b7/expansion/expansion-registry.json | b8/expansion-canonical-registry.json | b8/expansion-registry.json,b8/expansion-triage.jsonl
255,1,8942840451648945503,A Hybrid Method for Condition Monitoring and Fault Diagnosis of Rolling Bearings With Low System Delay,MEDIUM,B8,A Hybrid Method for Condition Monitoring and Fault Diagnosis of Rolling Bearings With Low System Delay,arxiv:2208.06051,"Vibration-based condition monitoring techniques are commonly used to detect and diagnose failures of rolling bearings. Accuracy and delay in detecting and diagnosing different types of failures are the main performance measures in condition monitoring. Achieving high accuracy with low delay improves system reliability and prevents catastrophic equipment failure. Further, delay is crucial to remote condition monitoring and time-sensitive industrial applications. While most of the proposed methods focus on accuracy, slight attention has been paid to addressing the delay introduced in the condition monitoring process. In this paper, we attempt to bridge this gap and propose a hybrid method for vibration-based condition monitoring and fault diagnosis of rolling bearings that outperforms previous methods in terms of accuracy and delay. Specifically, we address the overall delay in vibration-based condition monitoring systems and introduce the concept of system delay to assess it. Then, we present the proposed method for condition monitoring. It uses Wavelet Packet Transform (WPT) and Fourier analysis to decompose short-duration input segments of the vibration signal into elementary waveforms and obtain their spectral contents. Accordingly, energy concentration in the spectral components-caused by defect induced transient vibrations-is utilized to extract a small number of features with high discriminative capabilities. Consequently, Bayesian optimization-based Random Forest (RF) algorithm is used to classify healthy and faulty operating conditions under varying motor speeds. The experimental results show that the proposed method can achieve high accuracy with low system delay.",medium,B8,1,B8=medium,B8=Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.,"B8=It may add a reusable observability, replay, timing, or failure-injection mechanism to the B8 evidence family.",B8=true,expansion_round_1,,,arxiv:2208.06051,arxiv:2208.06051,8942840451648945503,,,,,B8,false,false,false,false,b8/expansion-registry.json,b8/expansion-triage.jsonl
256,2,1652219641171628767,SynchroSim: An Integrated Co-simulation Middleware for Heterogeneous Multi-robot System,MEDIUM,B8,SynchroSim: An Integrated Co-simulation Middleware for Heterogeneous Multi-robot System,arxiv:2208.06569,"With the advancement of modern robotics, autonomous agents are now capable of hosting sophisticated algorithms, which enables them to make intelligent decisions. But developing and testing such algorithms directly in real-world systems is tedious and may result in the wastage of valuable resources. Especially for heterogeneous multi-agent systems in battlefield environments where communication is critical in determining the system's behavior and usability. Due to the necessity of simulators of separate paradigms (co-simulation) to simulate such scenarios before deploying, synchronization between those simulators is vital. Existing works aimed at resolving this issue fall short of addressing diversity among deployed agents. In this work, we propose SynchroSim, an integrated co-simulation middleware to simulate a heterogeneous multi-robot system. Here we propose a velocity difference-driven adjustable window size approach with a view to reducing packet loss probability. It takes into account the respective velocities of deployed agents to calculate a suitable window size before transmitting data between them. We consider our algorithm-specific simulator agnostic but for the sake of implementation results, we have used Gazebo as a Physics simulator and NS-3 as a network simulator. Also, we design our algorithm considering the Perception-Action loop inside a closed communication channel, which is one of the essential factors in a contested scenario with the requirement of high fidelity in terms of data transmission. We validate our approach empirically at both the simulation and system level for both line-of-sight (LOS) and non-line-of-sight (NLOS) scenarios. Our approach achieves a noticeable improvement in terms of reducing packet loss probability (â‰ˆ11%), and average packet delay (â‰ˆ10%) compared to the fixed window size-based synchronization approach.",medium,B8,1,B8=medium,"B8=The paper measures or models distributed timing, synchronization, latency, jitter, or packet-loss effects across components.","B8=It transfers directly to robot inference episodes by linking sensor, middleware, inference, and outcome evidence.",B8=true,primary_assignment,,2022,arxiv:2208.06569,arxiv:2208.06569,1652219641171628767,,syn-04,firecrawl research search-papers,,B8,true,true,true,false,b4/raw-retrieval/q04-head-of-line-blocking-robotics.json | b5/canonical-registry.jsonl | b5/raw-retrieval/q06-direct-manipulation.json | b5/raw-retrieval/q14-mech-dds-loss.json | b8/assigned-paper-manifest.json | b8/canonical-registry.json | b8/expansion-canonical-registry.json | b8/expansion-registry.json | b8/follow-up-manifest.json | b8/inspection-manifest.json | b8/raw/syn-04.json | b8/targeted-read-manifest.json,b8/abstract-triage.jsonl | b8/expansion-triage.jsonl
257,3,492218436397604387,RFID: Towards Low Latency and Reliable DAG Task Scheduling over Dynamic Vehicular Clouds,MEDIUM,B3,RFID: Towards Low Latency and Reliable DAG Task Scheduling over Dynamic Vehicular Clouds,arxiv:2208.12568,"Vehicular cloud (VC) platforms integrate heterogeneous and distributed resources of moving vehicles to offer timely and cost-effective computing services. However, the dynamic nature of VCs (i.e., limited contact duration among vehicles), caused by vehicles' mobility, poses unique challenges to the execution of computation-intensive applications/tasks with directed acyclic graph (DAG) structure, where each task consists of multiple interdependent components (subtasks). In this paper, we study scheduling of DAG tasks over dynamic VCs, where multiple subtasks of a DAG task are dispersed across vehicles and then processed by cooperatively utilizing vehicles' resources. We formulate DAG task scheduling as a 0-1 integer programming, aiming to minimize the overall task completion time, while ensuring a high execution success rate, which turns out to be NP-hard. To tackle the problem, we develop a ranking and foresight-integrated dynamic scheduling scheme (RFID). RFID consists of (i) a dynamic downward ranking mechanism that sorts the scheduling priority of different subtasks, while explicitly taking into account for the sequential execution nature of DAG; (ii) a resource scarcity-based priority changing mechanism that overcomes possible performance degradations caused by the volatility of VC resources; and (iii) a degree-based weighted earliest finish time mechanism that assigns the subtask with the highest scheduling priority to the vehicle which offers rapid task execution along with reliable transmission links. Our simulation results reveal the effectiveness of our proposed scheme in comparison to benchmark methods.",medium,B3,1,B3=medium,"B3=Schedules interdependent DAG subtasks over dynamic distributed resources using ranking, resource scarcity, and earliest-finish-time policies.","B3=Relevant scheduling/critical-path transfer for distributed robot compute stages, although evaluated in simulation.",B3=false,primary_assignment,,,arxiv:2208.12568,arxiv:2208.12568,492218436397604387,,31-dag-scheduling,,,B3,false,false,false,false,b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/raw-q31-dag-scheduling.json | b3/registry.json,b3/triage.jsonl
258,4,6282554262719065803,The Syncline Model -- Analyzing the Impact of Time Synchronization in Sensor Fusion,HIGH,B1 | B7,The Syncline Model -- Analyzing the Impact of Time Synchronization in Sensor Fusion,arxiv:2209.01136,"The accuracy of sensor fusion algorithms are limited by either the intrinsic sensor noise, or by the quality of time synchronization of the sensors. While the intrinsic sensor noise only depends on the respective sensors, the error induced by quality of, or lack of, synchronization depends on the dynamics of the vehicles and robotic system and the magnitude of time synchronization errors. To meet their sensor fusion requirements, system designers must consider both which sensor to use and also how to synchronize them. This paper presents the Syncline model, a simple visual model of how time synchronization affects the accuracy of sensor fusion for different mobile robot platform. The model can serve as a simple tool to determine which synchronization mechanisms should be used.",high,B1 | B7,2,B1=high | B7=high,B1=A sensor-fusion model quantifies how relative timestamp error changes fused-state behavior and synchronization requirements. | B7=Visualizes how sensor synchronization error combines with platform dynamics to degrade fusion accuracy.,B7=It links a measurable timing defect to downstream correctness without proposing delayed-action compensation.,B1=true | B7=true,primary_assignment,"Erling Rennemo Jellum, Torleiv HÃ¥land Bryne, Tor Arne Johansen, Milica OrlandÃ­c",2022,arxiv:2209.01136,arxiv:2209.01136,6282554262719065803,,,,,B1 | B7,true,false,false,false,b1/assigned-paper-manifest.json | b1/assigned-paper-manifest.jsonl | b1/assigned-registry.jsonl | b1/canonical-registry.jsonl | b1/follow-up-manifest.jsonl | b1/inspection-manifest.jsonl | b1/raw-q07-robotics.json | b7/assigned-paper-manifest.json | b7/assigned-paper-manifest.jsonl | b7/canonical-registry.json | b7/raw-retrieval/q09-synonym-cps.json,b1/assigned-paper-manifest.jsonl | b1/triage.jsonl | b7/abstract-triage.jsonl
259,5,7592186960786338847,ElasticROS: An Elastically Collaborative Robot Operation System for Fog and Cloud Robotics,MEDIUM,B7,ElasticROS: An Elastically Collaborative Robot Operation System for Fog and Cloud Robotics,arxiv:2209.01774,"Robots are integrating more huge-size models to enrich functions and improve accuracy, which leads to out-of-control computing pressure. And thus robots are encountering bottlenecks in computing power and battery capacity. Fog or cloud robotics is one of the most anticipated theories to address these issues. Approaches of cloud robotics have developed from system-level to node-level. However, the present node-level systems are not flexible enough to dynamically adapt to changing conditions. To address this, we present ElasticROS, which evolves the present node-level systems into an algorithm-level one. ElasticROS is based on ROS and ROS2. For fog and cloud robotics, it is the first robot operating system with algorithm-level collaborative computing. ElasticROS develops elastic collaborative computing to achieve adaptability to dynamic conditions. The collaborative computing algorithm is the core and challenge of ElasticROS. We abstract the problem and then propose an algorithm named ElasAction to address. It is a dynamic action decision algorithm based on online learning, which determines how robots and servers cooperate. The algorithm dynamically updates parameters to adapt to changes of conditions where the robot is currently in. It achieves elastically distributing of computing tasks to robots and servers according to configurations. In addition, we prove that the regret upper bound of the ElasAction is sublinear, which guarantees its convergence and thus enables ElasticROS to be stable in its elasticity. Finally, we conducted experiments with ElasticROS on common tasks of robotics, including SLAM, grasping and human-robot dialogue, and then measured its performances in latency, CPU usage and power consumption. The algorithm-level ElasticROS performs significantly better than the present node-level system.",medium,B7,1,B7=medium,"B7=Measures latency, CPU, and power while dynamically distributing algorithm-level work between robots and fog/cloud servers.","B7=It is an adjacent distributed-inference setting useful for separating offload and middleware timing, though it includes adaptation policy.",B7=true,expansion_round_1,,,arxiv:2209.01774,arxiv:2209.01774,7592186960786338847,,,,,B7,false,false,false,false,b3/expansion-registry.json | b7/expansion/expansion-registry-final.json | b7/expansion/expansion-registry.json,b7/expansion-additions-triage.jsonl
260,1,2821153147766873057,CausalRCA: Causal Inference based Precise Fine-grained Root Cause Localization for Microservice Applications,HIGH,B3,CausalRCA: Causal Inference based Precise Fine-grained Root Cause Localization for Microservice Applications,arxiv:2209.02500,"Effectively localizing root causes of performance anomalies is crucial to enabling the rapid recovery and loss mitigation of microservice applications in the cloud. Depending on the granularity of the causes that can be localized, a service operator may take different actions, e.g., restarting or migrating services if only faulty services can be localized (namely, coarse-grained) or scaling resources if specific indicative metrics on the faulty service can be localized (namely, fine-grained). Prior research mainly focuses on coarse-grained faulty service localization, and there is now a growing interest in fine-grained root cause localization to identify faulty services and metrics. Causal inference (CI) based methods have gained popularity recently for root cause localization, but currently used CI methods have limitations, such as the linear causal relations assumption and strict data distribution requirements. To tackle these challenges, we propose a framework named CausalRCA to implement fine-grained, automated, and real-time root cause localization. The CausalRCA uses a gradient-based causal structure learning method to generate weighted causal graphs and a root cause inference method to localize root cause metrics. We conduct coarse- and fine-grained root cause localization to evaluate the localization performance of CausalRCA. Experimental results show that CausalRCA has significantly outperformed baseline methods in localization accuracy, e.g., the average AC@3 of the fine-grained root cause metric localization in the faulty service is 0.719, and the average increase is 10% compared with baseline methods. In addition, the average Avg@5 has improved by 9.43%.",high,B3,1,B3=high,B3=Learns weighted causal graphs and performs coarse and fine-grained localization down to root-cause metrics.,"B3=Matches the need to distinguish a faulty Reflex stage from a specific queue, transport, or timing metric.",B3=true,primary_assignment,,,arxiv:2209.02500,arxiv:2209.02500,2821153147766873057,,01-direct | 03-root-cause | 04-trace-causality | 08-microservice-rca | 13-causal-profiling | 32-dynamic-causality | 36-causal-profiler,,,B3,false,false,false,false,b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/expansion-registry.json | b3/follow-up-manifest.jsonl | b3/inspection-evidence.jsonl | b3/raw-q01-direct.json | b3/raw-q03-root-cause.json | b3/raw-q04-trace-causality.json | b3/raw-q08-microservice-rca.json | b3/raw-q13-causal-profiling.json | b3/raw-q32-dynamic-causality.json | b3/raw-q36-causal-profiler.json | b3/read-evidence-manifest.jsonl | b3/registry.json,b3/triage.jsonl
261,2,4504578132904970628,Understanding Time Variations of DNN Inference in Autonomous Driving,HIGH,B6,Understanding Time Variations of DNN Inference in Autonomous Driving,arxiv:2209.05487,"Deep neural networks (DNNs) are widely used in autonomous driving due to their high accuracy for perception, decision, and control. In safety-critical systems like autonomous driving, executing tasks like sensing and perception in real-time is vital to the vehicle's safety, which requires the application's execution time to be predictable. However, non-negligible time variations are observed in DNN inference. Current DNN inference studies either ignore the time variation issue or rely on the scheduler to handle it. None of the current work explains the root causes of DNN inference time variations. Understanding the time variations of the DNN inference becomes a fundamental challenge in real-time scheduling for autonomous driving. In this work, we analyze the time variation in DNN inference in fine granularity from six perspectives: data, I/O, model, runtime, hardware, and end-to-end perception system. Six insights are derived in understanding the time variations for DNN inference.",high,B6,1,B6=high,"B6=The abstract describes profiling, tracing, prediction, or decomposition to localize latency across serving, host, runtime, kernel, and device layers.",B6=It offers a concrete localization or measurement pattern for runtime observability around an inference episode.,B6=true,primary_assignment,"Liangkai Liu, Yanzhi Wang, Weisong Shi",,arxiv:2209.05487,arxiv:2209.05487,4504578132904970628,cs.AI | cs.LG | cs.RO,q24,firecrawl research search-papers,false,B6,false,true,false,false,b4/raw-retrieval/q14-real-time-DNN-inference.json | b6/assigned-evidence-index.jsonl | b6/assigned-paper-manifest.jsonl | b6/assigned-registry.jsonl | b6/canonical-registry.json | b6/canonical-registry.jsonl | b6/follow-up-manifest.jsonl | b6/inspection-evidence.jsonl | b6/inspection-manifest.jsonl | b6/raw-retrieval/q24-adjacent-driving.json | b6/read-evidence-manifest.jsonl,b6/abstract-triage-inherited-89.jsonl | b6/abstract-triage.jsonl | b6/assigned-paper-manifest.jsonl
262,3,1947083336753205595,Causal chain event graphs for remedial maintenance,MEDIUM,B3,Causal chain event graphs for remedial maintenance,arxiv:2209.06704,"The analysis of system reliability has often benefited from graphical tools such as fault trees and Bayesian networks. In this article, instead of conventional graphical tools, we apply a probabilistic graphical model called the chain event graph (CEG) to represent the failures and processes of deterioration of a system. The CEG is derived from an event tree and can flexibly represent the unfolding of asymmetric processes. For this application we need to define a new class of formal intervention we call remedial to model causal effects of remedial maintenance. This fixes the root causes of a failure and returns the status of the system to as good as new. We demonstrate that the semantics of the CEG are rich enough to express this novel type of intervention. Furthermore through the bespoke causal algebras the CEG provides a transparent framework with which guide and express the rationale behind predictive inferences about the effects of various different types of remedial intervention. A back-door theorem is adapted to apply to these interventions to help discover when a system is only partially observed.",medium,B3,1,B3=medium,B3=Uses chain event graphs and formal remedial interventions to model asymmetric failure processes under partial observation.,B3=Adds an intervention and partial-observation perspective to failure propagation and repair analysis.,B3=false,primary_assignment,,,arxiv:2209.06704,arxiv:2209.06704,1947083336753205595,,05-event-graph,,,B3,false,false,false,false,b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/raw-q05-event-graph.json | b3/registry.json,b3/triage.jsonl
263,4,4151462417804694101,A Learning-Based Trajectory Planning of Multiple UAVs for AoI Minimization in IoT Networks,HIGH,B5,A Learning-Based Trajectory Planning of Multiple UAVs for AoI Minimization in IoT Networks,arxiv:2209.09206,"Many emerging Internet of Things (IoT) applications rely on information collected by sensor nodes where the freshness of information is an important criterion. Age of Information (AoI) is a metric that quantifies information timeliness, i.e., the freshness of the received information or status update. This work considers a setup of deployed sensors in an IoT network, where multiple unmanned aerial vehicles (UAVs) serve as mobile relay nodes between the sensors and the base station. We formulate an optimization problem to jointly plan the UAVs' trajectory, while minimizing the AoI of the received messages. This ensures that the received information at the base station is as fresh as possible. The complex optimization problem is efficiently solved using a deep reinforcement learning (DRL) algorithm. In particular, we propose a deep Q-network, which works as a function approximation to estimate the state-action value function. The proposed scheme is quick to converge and results in a lower AoI than the random walk scheme. Our proposed algorithm reduces the average age by approximately 25% and requires down to 50% less energy when compared to the baseline scheme.",high,B5,1,B5=high,"B5=The abstract treats freshness, age of information, timeliness, stale data, or value of information as a correctness or control variable.","B5=It supplies a transferable diagnostic or design hypothesis for detecting transport-induced loss, duplication, reordering, staleness, timing error, or observation/action mismatch in the Reflex episode loop.",B5=true,primary_assignment,"Eslam Eldeeb, Dian Echevarría Pérez, Jean Michel de Souza Sant'Ana, Mohammad Shehab, Nurul Huda Mahmood, Hirley Alves, Matti Latva-aho",,arxiv:2209.09206,arxiv:2209.09206,4151462417804694101,,q02-direct-freshness | q09-syn-aoi | q36-adj-iot,,,B5,false,false,false,false,b5/assigned-paper-manifest.json | b5/assigned-paper-manifest.jsonl | b5/canonical-registry.jsonl | b5/evidence-digest.jsonl | b5/raw-retrieval/q02-direct-freshness.json | b5/raw-retrieval/q09-syn-aoi.json | b5/raw-retrieval/q36-adj-iot.json,b5/abstract-triage.jsonl
264,5,arxiv:2209.12052,Scalable Damper-based Deterministic Networking,HIGH,B4,Scalable Damper-based Deterministic Networking,arxiv:2209.12052,"With 5G networking, deterministic guarantees are emerging as a key enabler. In this context, we present a scalable Damper-based architecture for Large-scale Deterministic IP Networks (D-LDN) that meets required bounds on end-to-end delay and jitter. This work extends the original LDN architecture, where flows are shaped at ingress gateways and scheduled for transmission at each link using an asynchronous and cyclic opening of gate-controlled queues. To further relax the need for clock synchronization between devices, we use dampers, that consist in jitter regulators, to control the burstiness",high,B4,1,B4=high,B4=jitter and timing variation; queueing and buffering; scheduling/deadline policy; stage-wise latency attribution; network/transport transfer,B4=Supplies a transferable mechanism for explaining tail behavior and deciding which per-stage measurements the Reflex evidence model must preserve.,B4=true,primary_assignment,M. Yassine Naghmouchi; Shoushou Ren; Paolo Medagliani; Sébastien Martin; Jérémie Leguay,2022,arxiv:2209.12052,arxiv:2209.12052,arxiv:2209.12052,cs.NI,q23-networked-control-systems.json,,,B4,false,false,false,false,b4/assigned-paper-manifest.jsonl | b4/canonical-registry.json | b4/raw-retrieval/q23-networked-control-systems.json,b4/abstract-triage.jsonl
265,1,2629951492358259244,Monitoring ROS2: from Requirements to Autonomous Robots,HIGH,B7,Monitoring ROS2: from Requirements to Autonomous Robots,arxiv:2209.14030,"Runtime verification (RV) has the potential to enable the safe operation of safety-critical systems that are too complex to formally verify, such as Robot Operating System 2 (ROS2) applications. Writing correct monitors can itself be complex, and errors in the monitoring subsystem threaten the mission as a whole. This paper provides an overview of a formal approach to generating runtime monitors for autonomous robots from requirements written in a structured natural language. Our approach integrates the Formal Requirement Elicitation Tool (FRET) with Copilot, a runtime verification framework, through the Ogma integration tool. FRET is used to specify requirements with unambiguous semantics, which are then automatically translated into temporal logic formulae. Ogma generates monitor specifications from the FRET output, which are compiled into hard-real time C99. To facilitate integration of the monitors in ROS2, we have extended Ogma to generate ROS2 packages defining monitoring nodes, which run the monitors when new data becomes available, and publish the results of any violations. The goal of our approach is to treat the generated ROS2 packages as black boxes and integrate them into larger ROS2 systems with minimal effort.",high,B7,1,B7=high,B7=Compiles structured requirements into hard-real-time temporal monitors packaged as ROS2 nodes that publish violations when data arrives.,B7=It provides a deployable correctness-observability path with explicit monitor timing and low integration friction.,B7=true,primary_assignment,,2022,arxiv:2209.14030,arxiv:2209.14030,2629951492358259244,,38-recent-ros,firecrawl research search-papers,,B7,false,false,false,false,b3/raw-q38-recent-ros.json | b3/registry.json | b7/assigned-paper-manifest.json | b7/assigned-paper-manifest.jsonl | b7/canonical-registry.json | b7/expansion/expansion-registry-final.json | b7/raw-retrieval/q06-synonym-runtime.json | b7/raw-retrieval/q25-failure-localization.json | b8/canonical-registry.json | b8/raw/failure-03.json | b8/raw/mechanism-01.json | b8/raw/syn-02.json,b7/abstract-triage.jsonl
