"pass2_index","canonical_paper_id","assigned_agent","first_pass_classification","source_lane","paper_name","id","abstract","triage_label","lanes","lane_count","triage_labels_by_lane","mechanisms_by_lane","why_it_matters_by_lane","follow_up_by_lane","corpus_stages","authors","year","source_ids","primary_id","paper_id","categories","queries","discovery_methods","designations","primary_readers","metadata_verified_any","body_inspected_any","evidence_read_any","triage_disagreement","source_registry_paths","source_triage_paths"
"989","arxiv:2409.14896","2","HIGH","A1","Built Different: Tactile Perception to Overcome Cross-Embodiment Capability Differences in Collaborative Manipulation","arxiv:2409.14896","Tactile sensing is a widely-studied means of implicit communication between robot and human. In this paper, we investigate how tactile sensing can help bridge differences between robotic embodiments in the context of collaborative manipulation. For a robot, learning and executing force-rich collaboration require compliance to human interaction. While compliance is often achieved with admittance control, many commercial robots lack the joint torque monitoring needed for such control. To address this challenge, we present an approach that uses tactile sensors and behavior cloning to transfer policies from robots with these capabilities to those without. We train a single policy that demonstrates positive transfer across embodiments, including robots without torque sensing. We demonstrate this positive transfer on four different tactile-enabled embodiments using the same policy trained on force-controlled robot data. Across multiple proposed metrics, the best performance came from a decomposed tactile shear-field representation combined with a pre-trained encoder, which improved success rates over alternative representations.","high","A1","1","A1=high","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Built Different: Tactile Perception to Overcome Cross-Embodiment Capability Differences in Collaborative Manipulation.","A1=Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.","A1=true","expansion_round_2","","","arxiv:2409.14896","arxiv:2409.14896","9218195402512325218","","","related-papers-round2 | related-papers-round3","","A1","false","false","false","false","A1/expansion-round2-registry.json | A1/expansion-round3-registry.json | A1/paper-registry-complete.json","A1/expansion-round2-triage.jsonl"
"1002","arxiv:2410.04640","2","HIGH","A3","Unpacking Failure Modes of Generative Policies: Runtime Monitoring of Consistency and Progress","arxiv:2410.04640","Robot behavior policies trained via imitation learning are prone to failure under conditions that deviate from their training data. Thus, algorithms that monitor learned policies at test time and provide early warnings of failure are necessary to facilitate scalable deployment. We propose Sentinel, a runtime monitoring framework that splits the detection of failures into two complementary categories: 1) Erratic failures, which we detect using statistical measures of temporal action consistency, and 2) task progression failures, where we use Vision Language Models (VLMs) to detect when the poli","high","A3","1","A3=high","A3=Runtime monitoring detects inconsistency and stalled progress as failure modes of generative policies.","A3=It provides observable signals for auditing policy behavior and selecting corrective data.","A3=true","expansion_round_2","Christopher Agia | Rohan Sinha | Jingyun Yang | Zi-ang Cao | Rika Antonova | Marco Pavone | Jeannette Bohg","2024","arxiv:2410.04640","","","cs.AI | cs.LG | cs.RO","","firecrawl research related-papers","","A3","false","false","false","false","A3/paper-registry.json | A3/round2-registry.json | A3/round3-registry.json","A3/round2-triage.jsonl"
"1015","arxiv:2410.14868","2","HIGH","A8","Diff-DAgger: Uncertainty Estimation with Diffusion Policy for Robotic Manipulation","arxiv:2410.14868","Recently, diffusion policy has shown impressive results in handling multi-modal tasks in robotic manipulation. However, it has fundamental limitations in out-of-distribution failures that persist due to compounding errors and its limited capability to extrapolate. One way to address these limitations is robot-gated DAgger, an interactive imitation learning with a robot query system to actively seek expert help during policy rollout. While robot-gated DAgger has high potential for learning at scale, existing methods like Ensemble-DAgger struggle with highly expressive policies: They often misinterpret policy disagreements as uncertainty at multi-modal decision points. To address this problem, we introduce Diff-DAgger, an efficient robot-gated DAgger algorithm that leverages the training objective of diffusion policy. We evaluate Diff-DAgger across different robot tasks including stacking, pushing, and plugging, and show that Diff-DAgger improves the task failure prediction by 39.0%, the task completion rate by 20.6%, and reduces the wall-clock time by a factor of 7.8. We hope that this work opens up a path for efficiently incorporating expressive yet data-hungry policies into interactive robot learning settings. The project website is available at: https://diffdagger.github.io.","high","A8","1","A8=high","A8=It derives uncertainty from diffusion-policy training disagreement rather than treating multimodal action disagreement as failure and gates expert queries during rollout.","A8=It shows how uncertainty estimation can be tailored to expressive policies to select corrective data without confusing legitimate multimodality for risk.","A8=true","primary_assignment","","","arxiv:2410.14868","arxiv:2410.14868","3263596525152718841","","A8 | q08-synonyms | q16-outcome","search-papers","general","A8","false","false","false","false","A5/canonical-pool.jsonl | A5/paper-registry.json | A6/raw-retrieval/q15-failure-detection-recovery.json | A6/raw-retrieval/q24-found-dagger.json | A6/raw-retrieval/q33-recent-diffusion-recovery.json | A6/raw-retrieval/q34-found-original-dagger.json | A6/work/canonical-pool.jsonl | A8/raw/q08-synonyms.json | A8/raw/q16-outcome.json | A8/work/assigned-papers.json | A8/work/canonical-pool.jsonl","A8/work/abstract-triage.jsonl | A8/work/assigned-abstracts.jsonl"
"1028","arxiv:2411.00137","2","HIGH","A8","Cost-Aware Query Policies in Active Learning for Efficient Autonomous Robotic Exploration","arxiv:2411.00137","In missions constrained by finite resources, efficient data collection is critical. Informative path planning, driven by automated decision-making, optimizes exploration by reducing the costs associated with accurate characterization of a target in an environment. Previous implementations of active learning did not consider the action cost for regression problems or only considered the action cost for classification problems. This paper analyzes an AL algorithm for Gaussian Process regression while incorporating action cost. The algorithm's performance is compared on various regression problems to include terrain mapping on diverse simulated surfaces along metrics of root mean square error, samples and distance until convergence, and model variance upon convergence. The cost-dependent acquisition policy doesn't organically optimize information gain over distance. Instead, the traditional uncertainty metric with a distance constraint best minimizes root-mean-square error over trajectory distance. This studys impact is to provide insight into incorporating action cost with AL methods to optimize exploration under realistic mission constraints.","high","A8","1","A8=high","A8=It compares cost-aware and uncertainty-based Gaussian-process acquisition policies that trade off information value against travel distance during exploration.","A8=It exposes the fleet-level resource tradeoff between collecting informative observations and paying motion or sampling cost.","A8=true","primary_assignment","","","arxiv:2411.00137","arxiv:2411.00137","2451519550743043878","","A8 | q03-direct | q20-adjacent | q25-recent","search-papers","recent","A8","false","false","false","false","A8/raw/q03-direct.json | A8/raw/q20-adjacent.json | A8/raw/q25-recent.json | A8/work/assigned-papers.json | A8/work/canonical-pool.jsonl","A8/work/abstract-triage.jsonl | A8/work/assigned-abstracts.jsonl"
"1041","arxiv:2411.17458","2","HIGH","A3 | A7","Spatially Visual Perception for End-to-End Robotic Learning","arxiv:2411.17458","Recent advances in imitation learning have shown significant promise for robotic control and embodied intelligence. However, achieving robust generalization across diverse mounted camera observations remains a critical challenge. In this paper, we introduce a video-based spatial perception framework that leverages 3D spatial representations to address environmental variability, with a focus on handling lighting changes. Our approach integrates a novel image augmentation technique, AugBlender, with a state-of-the-art monocular depth estimation model trained on internet-scale data. Together, these components form a cohesive system designed to enhance robustness and adaptability in dynamic scenarios. Our results demonstrate that our approach significantly boosts the success rate across diverse camera exposures, where previous models experience performance collapse. Our findings highlight the potential of video-based spatial perception models in advancing robustness for end-to-end robotic learning, paving the way for scalable, low-cost solutions in embodied intelligence.","high","A3 | A7","2","A3=high | A7=high","A3=The paper develops or evaluates Spatially Visual Perception for End-to-End Robotic Learning, with a mechanism for selecting, weighting, repairing, auditing, or robustifying experience. | A7=Recent advances in imitation learning have shown significant promise for robotic control and embodied intelligence.","A3=Its related-paper mechanism is plausibly transferable to the Program A data-to-policy loop and merits targeted review. | A7=It helps diagnose or reduce behavior-distribution mismatch and spurious dependence under deployment shift.","A3=true | A7=true","expansion_round_1","","2024","arxiv:2411.17458","","","","","citers | firecrawl research related-papers","","A3","false","false","false","false","A3/expansion-registry.json | A3/paper-registry.json | A7/work/expansion-registry.json | A7/work/expansion-registry.jsonl","A3/expansion-triage.jsonl | A7/work/expansion-triage.jsonl"
"1054","arxiv:2412.10855","2","HIGH","A1","Fast and Robust Visuomotor Riemannian Flow Matching Policy","arxiv:2412.10855","Diffusion-based visuomotor policies excel at learning complex robotic tasks by effectively combining visual data with high-dimensional, multi-modal action distributions. However, diffusion models often suffer from slow inference due to costly denoising processes or require complex sequential training arising from recent distilling approaches. This paper introduces Riemannian Flow Matching Policy (RFMP), a model that inherits the easy training and fast inference capabilities of flow matching (FM). Moreover, RFMP inherently incorporates geometric constraints commonly found in realistic robotic applications, as the robot state resides on a Riemannian manifold. To enhance the robustness of RFMP, we propose Stable RFMP (SRFMP), which leverages LaSalle's invariance principle to equip the dynamics of FM with stability to the support of a target Riemannian distribution. Rigorous evaluation on ten simulated and real-world tasks show that RFMP successfully learns and synthesizes complex sensorimotor policies on Euclidean and Riemannian spaces with efficient training and inference phases, outperforming Diffusion Policies and Consistency Policies.","high","A1","1","A1=high","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Fast and Robust Visuomotor Riemannian Flow Matching Policy.","A1=Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.","A1=true","expansion_round_3","","","arxiv:2412.10855","arxiv:2412.10855","2340210583996221739","","","related-papers-round3","","A1","false","false","false","false","A1/expansion-round3-registry.json | A1/paper-registry-complete.json","A1/expansion-round3-triage.jsonl"
"1067","arxiv:2501.05439","2","HIGH","A2","From Simple to Complex Skills: The Case of In-Hand Object Reorientation","arxiv:2501.05439","Learning policies in simulation and transferring them to the real world has become a promising approach in dexterous manipulation. However, bridging the sim-to-real gap for each new task requires substantial human effort, such as careful reward engineering, hyperparameter tuning, and system identification. In this work, we present a system that leverages low-level skills to address these challenges for more complex tasks. Specifically, we introduce a hierarchical policy for in-hand object reorientation based on previously acquired rotation skills. This hierarchical policy learns to select which low-level skill to execute based on feedback from both the environment and the low-level skill policies themselves. Compared to learning from scratch, the hierarchical policy is more robust to out-of-distribution changes and transfers easily from simulation to real-world environments. Additionally, we propose a generalizable object pose estimator that uses proprioceptive information, low-level skill predictions, and control errors as inputs to estimate the object pose over time. We demonstrate that our system can reorient objects, including symmetrical and textureless ones, to a desired pose.","high","A2","1","A2=high","A2=Discovers reusable temporal structure in sequential experience for downstream decision making or policy learning.","A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets.","A2=true","expansion_round_1","","2025","arxiv:2501.05439","","","","","","","A2","false","false","false","false","A2/expansion-pool.json | A2/expansion-pool.jsonl","A2/expansion-triage.jsonl"
"1080","arxiv:2502.01167","2","HIGH","A6","ConditionNET: Learning Preconditions and Effects for Execution Monitoring","arxiv:2502.01167","The introduction of robots into everyday scenarios necessitates algorithms capable of monitoring the execution of tasks. In this paper, we propose ConditionNET, an approach for learning the preconditions and effects of actions in a fully data-driven manner. We develop an efficient vision-language model and introduce additional optimization objectives during training to optimize for consistent feature representations. ConditionNET explicitly models the dependencies between actions, preconditions, and effects, leading to improved performance. We evaluate our model on two robotic datasets, one of which we collected for this paper, containing 406 successful and 138 failed teleoperated demonstrations of a Franka Emika Panda robot performing tasks like pouring and cleaning the counter. We show in our experiments that ConditionNET outperforms all baselines on both anomaly detection and phase prediction tasks. Furthermore, we implement an action monitoring system on a real robot to demonstrate the practical applicability of the learned preconditions and effects. Our results highlight the potential of ConditionNET for enhancing the reliability and adaptability of robots in real-world environments. The data is available on the project website: https://dsliwowski1.github.io/ConditionNETpage.","high","A6","1","A6=high","A6=Learns or supplies recovery, correction, retry, repair, or replanning behavior from failed or perturbed executions.","A6=Makes failure states informative for robust execution and for deciding what corrective data to collect next.","A6=true","expansion_round_1","","","arxiv:2502.01167","arxiv:2502.01167","8895124055942280057","","","related-papers","","A6","false","false","false","false","A6/expansion/canonical-pool.jsonl","A6/expansion/triage.jsonl"
"1093","arxiv:2502.07645","2","HIGH","A3 | A4","From Action Labels to Sets: Rethinking Action Supervision for Imitation Learning from Corrective Feedback","arxiv:2502.07645","Behavior cloning (BC) optimizes policies by treating human demonstrations as pointwise action labels. While effective with accurate action labels, this formulation is brittle in practice: when human-provided actions are imperfect, treating each label as an exact target can steer the policy away from the underlying desired behavior, particularly when expressive models are used (e.g., energy-based models). As a result, we propose a human-in-the-loop alternative that replaces pointwise supervision with set-valued action targets. We introduce Contrastive policy Learning from Interactive Corrections (CLIC). CLIC leverages human corrections to construct and refine sets of desired actions, and optimizes a policy to place probability mass over these sets rather than over a single action target. This formulation naturally accommodates both absolute and relative corrections and can represent complex multi-modal behaviors. Extensive simulation and real-robot experiments show that the proposed approach leads to effective policy learning across diverse settings: CLIC remains competitive with the state of the art under accurate data while being substantially more robust under noisy, relative, and partial feedback. Our implementation is publicly available at https://clic-webpage.github.io/.","high","A3 | A4","2","A3=high | A4=high","A3=Human corrective feedback is represented as set-valued acceptable actions instead of brittle point labels. | A4=Relates data composition or example properties to downstream model or policy behavior and provides a mechanism for selecting or weighting experience.","A3=Set supervision preserves action tolerance and intent when a recorded correction is not the unique optimal action. | A4=It offers a direct or transferable way to connect robot experience choices to learned policy behavior.","A3=true | A4=true","primary_assignment","Zhaoting Li | Rodrigo Pérez-Dattari | Robert Babuska | Cosimo Della Santina | Jens Kober","2025","arxiv:2502.07645 | paper:5566195296376458074","arxiv:2502.07645","5566195296376458074","cs.RO","q04-mislabeled | q11-help-harm | q12-action-labels","firecrawl research search-papers | semantic-search","general","A3 | A4","false","false","false","false","A3/assigned-papers.json | A3/evidence-index.json | A3/expansion-registry.json | A3/paper-registry.json | A3/raw/q04-mislabeled.txt | A3/raw/q12-action-labels.txt | A4/assigned-papers.json | A4/assigned-registry-inspected.jsonl | A4/assigned-registry-preinspect.jsonl | A4/canonical-registry.jsonl | A4/raw/q11-help-harm.json | A5/canonical-pool.jsonl | A5/paper-registry.json | A6/raw-retrieval/q02-direct-imperfect-demo.json | A6/raw-retrieval/q29-found-corrections.json | A6/work/canonical-pool.jsonl","A3/abstract-triage.jsonl | A4/abstract-triage.jsonl"
"1106","arxiv:2502.19899","2","HIGH","A2","Shared Autonomy for Proximal Teaching","arxiv:2502.19899","Motor skill learning often requires experienced professionals who can provide personalized instruction. Unfortunately, the availability of high-quality training can be limited for specialized tasks, such as high performance racing. Several recent works have leveraged AI-assistance to improve instruction of tasks ranging from rehabilitation to surgical robot tele-operation. However, these works often make simplifying assumptions on the student learning process, and fail to model how a teacher's assistance interacts with different individuals' abilities when determining optimal teaching strategies. Inspired by the idea of scaffolding from educational psychology, we leverage shared autonomy, a framework for combining user inputs with robot autonomy, to aid with curriculum design. Our key insight is that the way a student's behavior improves in the presence of assistance from an autonomous agent can highlight which sub-skills might be most ``learnable'' for the student, or within their Zone of Proximal Development. We use this to design Z-COACH, a method for using shared autonomy to provide personalized instruction targeting interpretable task sub-skills. In a user study (n=50), where we teach high performance racing in a simulated environment of the Thunderhill Raceway Park with the CARLA Autonomous Driving simulator, we show that Z-COACH helps identify which skills each student should first practice, leading to an overall improvement in driving time, behavior, and smoothness. Our work shows that increasingly available semi-autonomous capabilities (e.g. in vehicles, robots) can not only assist human users, but also help *teach* them.","high","A2","1","A2=high","A2=Discovers reusable temporal structure in sequential experience for downstream decision making or policy learning.","A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets.","A2=true","expansion_round_1","","2025","arxiv:2502.19899","","","","","","","A2","false","false","false","false","A2/expansion-pool.json | A2/expansion-pool.jsonl","A2/expansion-triage.jsonl"
"1119","arxiv:2503.05954","2","MEDIUM","A1","A Survey on Deep Learning Approaches for Tabular Data Generation: Utility, Alignment, Fidelity, Privacy, Diversity, and Beyond","arxiv:2503.05954","Generative modelling has become the standard approach for synthesising tabular data. However, different use cases demand synthetic data to comply with different requirements to be useful in practice. In this survey, we review deep generative modelling approaches for tabular data from the perspective of five types of requirements: utility of the synthetic data, alignment of the synthetic data with domain-specific knowledge, statistical fidelity of the synthetic data distribution compared to the real data distribution, privacy-preserving capabilities, and sampling diversity. We group the approaches along two levels of granularity: (i) based on the requirements they address and (ii) according to the underlying model they utilise. Additionally, we summarise the appropriate evaluation methods for each requirement, the relationships among the requirements, and the specific characteristics of each model type. Finally, we discuss future directions for the field, along with opportunities to improve the current evaluation methods. Overall, this survey can be seen as a user guide to tabular data generation: helping readers navigate available models and evaluation methods to find those best suited to their needs.","medium","A1","1","A1=medium","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for A Survey on Deep Learning Approaches for Tabular Data Generation: Utility, Alignment, Fidelity, Privacy, Diversity, and Beyond.","A1=Its adjacent-domain method may provide a transferable alignment idea, but the robot transfer path requires verification.","A1=true","expansion_round_2","","","arxiv:2503.05954","arxiv:2503.05954","5491073106416328512","","","related-papers-round2","","A1","false","false","false","false","A1/expansion-round2-registry.json | A1/paper-registry-complete.json","A1/expansion-round2-triage.jsonl"
"1132","arxiv:2503.14430","2","HIGH","A1","Joint Image-Instance Spatial-Temporal Attention for Few-shot Action Recognition","arxiv:2503.14430","Few-shot Action Recognition (FSAR) constitutes a crucial challenge in computer vision, entailing the recognition of actions from a limited set of examples. Recent approaches mainly focus on employing image-level features to construct temporal dependencies and generate prototypes for each action category. However, a considerable number of these methods utilize mainly image-level features that incorporate background noise and focus insufficiently on real foreground (action-related instances), thereby compromising the recognition capability, particularly in the few-shot scenario. To tackle this issue, we propose a novel joint Image-Instance level Spatial-temporal attention approach (I2ST) for Few-shot Action Recognition. The core concept of I2ST is to perceive the action-related instances and integrate them with image features via spatial-temporal attention. Specifically, I2ST consists of two key components: Action-related Instance Perception and Joint Image-Instance Spatial-temporal Attention. Given the basic representations from the feature extractor, the Action-related Instance Perception is introduced to perceive action-related instances under the guidance of a text-guided segmentation model. Subsequently, the Joint Image-Instance Spatial-temporal Attention is used to construct the feature dependency between instances and images...","high","A1","1","A1=high","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Joint Image-Instance Spatial-Temporal Attention for Few-shot Action Recognition.","A1=Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.","A1=true","expansion_round_3","","","arxiv:2503.14430","arxiv:2503.14430","1044046460730200155","","","related-papers-round3","","A1","false","false","false","false","A1/expansion-round3-registry.json | A1/paper-registry-complete.json","A1/expansion-round3-triage.jsonl"
"1145","arxiv:2503.22020","2","MEDIUM","A5","CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models","arxiv:2503.22020","Vision-language-action models (VLAs) have shown potential in leveraging pretrained vision-language models and diverse robot demonstrations for learning generalizable sensorimotor control. While this paradigm effectively utilizes large-scale data from both robotic and non-robotic sources, current VLAs primarily focus on direct input--output mappings, lacking the intermediate reasoning steps crucial for complex manipulation tasks. As a result, existing VLAs lack temporal planning or reasoning capabilities. In this paper, we introduce a method that incorporates explicit visual chain-of-thought (CoT) reasoning into vision-language-action models (VLAs) by predicting future image frames autoregressively as visual goals before generating a short action sequence to achieve these goals. We introduce CoT-VLA, a state-of-the-art 7B VLA that can understand and generate visual and action tokens. Our experimental results demonstrate that CoT-VLA achieves strong performance, outperforming the state-of-the-art VLA model by 17% in real-world manipulation tasks and 6% in simulation benchmarks. Project website: https://cot-vla.github.io/","medium","A5","1","A5=medium","A5=While this paradigm effectively utilizes large-scale data from both robotic and non-robotic sources, current VLAs primarily focus on direct input--output mappings, lacking the intermediate reasoning steps crucial for complex manipulation tasks.","A5=This curriculum neighbor tests whether the expansion adds a reusable mechanism for controlling robot experience in policy training.","A5=true","expansion_round_2","","","arxiv:2503.22020","arxiv:2503.22020","15855220806060801","","","","","A5","false","false","false","false","A5/expansion/raw/round2-similar.json","A5/expansion/round2-triage.jsonl"
"1158","arxiv:2504.12515","2","MEDIUM","A1","Event Quality Score (EQS): Assessing the Realism of Simulated Event Camera Streams via Distances in Latent Space","arxiv:2504.12515","Event cameras promise a paradigm shift in vision sensing with their low latency, high dynamic range, and asynchronous nature of events. Unfortunately, the scarcity of high-quality labeled datasets hinders their widespread adoption in deep learning-driven computer vision. To mitigate this, several simulators have been proposed to generate synthetic event data for training models for detection and estimation tasks. However, the fundamentally different sensor design of event cameras compared to traditional frame-based cameras poses a challenge for accurate simulation. As a result, most simulated data fail to mimic data captured by real event cameras. Inspired by existing work on using deep features for image comparison, we introduce event quality score (EQS), a quality metric that utilizes activations of the RVT architecture. Through sim-to-real experiments on the DSEC driving dataset, it is shown that a higher EQS implies improved generalization to real-world data after training on simulated events. Thus, optimizing for EQS can lead to developing more realistic event camera simulators, effectively reducing the simulation gap. EQS is available at https://github.com/eventbasedvision/EQS.","medium","A1","1","A1=medium","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Event Quality Score (EQS): Assessing the Realism of Simulated Event Camera Streams via Distances in Latent Space.","A1=Its adjacent-domain method may provide a transferable alignment idea, but the robot transfer path requires verification.","A1=true","expansion_round_1","","","arxiv:2504.12515","arxiv:2504.12515","3742414908498763526","","","related-references | related-similar","","A1","false","false","false","false","A1/expansion-registry.json | A1/expansion-round2-registry.json | A1/paper-registry-complete.json","A1/expansion-triage.jsonl"
"1171","arxiv:2505.01396","2","HIGH","A3","SIME: Enhancing Policy Self-Improvement with Modal-level Exploration","arxiv:2505.01396","Self-improvement requires robotic systems to initially learn from human-provided data and then gradually enhance their capabilities through interaction with the environment. This is similar to how humans improve their skills through continuous practice. However, achieving effective self-improvement is challenging, primarily because robots tend to repeat their existing abilities during interactions, often failing to generate new, valuable data for learning. In this paper, we identify the key to successful self-improvement: modal-level exploration and data selection. By incorporating a modal-lev","high","A3","1","A3=high","A3=Modal-level exploration supports policy self-improvement by selecting informative exploration channels.","A3=It can guide collection toward missing or uncertain evidence instead of random exploration.","A3=true","expansion_round_2","Yang Jin | Jun Lv | Wenye Yu | Hongjie Fang | Yong-Lu Li | Cewu Lu","2025","arxiv:2505.01396","arxiv:2505.01396","3329814612201245462","cs.AI | cs.LG | cs.RO","A8 | q04-direct","firecrawl research related-papers","","A3","false","false","false","false","A3/paper-registry.json | A3/round2-registry.json | A8/raw/q04-direct.json | A8/work/canonical-pool.jsonl","A3/round2-triage.jsonl"
"1184","arxiv:2505.08438","2","HIGH","A1","A Survey of 3D Reconstruction with Event Cameras","arxiv:2505.08438","Event cameras are rapidly emerging as powerful vision sensors for 3D reconstruction, uniquely capable of asynchronously capturing per-pixel brightness changes. Compared to traditional frame-based cameras, event cameras produce sparse yet temporally dense data streams, enabling robust and accurate 3D reconstruction even under challenging conditions such as high-speed motion, low illumination, and extreme dynamic range scenarios. These capabilities offer substantial promise for transformative applications across various fields, including autonomous driving, robotics, aerial navigation, and immersive virtual reality. In this survey, we present the first comprehensive review exclusively dedicated to event-based 3D reconstruction. Existing approaches are systematically categorised based on input modality into stereo, monocular, and multimodal systems, and further classified according to reconstruction methodologies, including geometry-based techniques, deep learning approaches, and neural rendering techniques such as Neural Radiance Fields (NeRF) and 3D Gaussian Splatting (3DGS). Within each category, methods are chronologically organised to highlight the evolution of key concepts and advancements. Furthermore, we provide a detailed summary of publicly available datasets specifically suited to event-based reconstruction tasks. Finally, we discuss significant open challenges in dataset availability, standardised evaluation, effective representation, and dynamic scene reconstruction, outlining insightful directions for future research. This survey aims to serve as an essential reference and provides a clear and motivating roadmap toward advancing the state of the art in event-driven 3D reconstruction.","high","A1","1","A1=high","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for A Survey of 3D Reconstruction with Event Cameras.","A1=Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.","A1=true","expansion_round_2","","","arxiv:2505.08438","arxiv:2505.08438","9029389067145514010","","","related-papers-round2","","A1","false","false","false","false","A1/expansion-round2-registry.json | A1/paper-registry-complete.json","A1/expansion-round2-triage.jsonl"
"1197","arxiv:2505.12737","2","HIGH","A2","Option-aware Temporally Abstracted Value for Offline Goal-Conditioned Reinforcement Learning","arxiv:2505.12737","Offline goal-conditioned reinforcement learning (GCRL) offers a practical learning paradigm in which goal-reaching policies are trained from abundant state-action trajectory datasets without additional environment interaction. However, offline GCRL still struggles with long-horizon tasks, even with recent advances that employ hierarchical policy structures, such as HIQL. Identifying the root cause of this challenge, we observe the following insight. Firstly, performance bottlenecks mainly stem from the high-level policy's inability to generate appropriate subgoals. Secondly, when learning the high-level policy in the long-horizon regime, the sign of the advantage estimate frequently becomes incorrect. Thus, we argue that improving the value function to produce a clear advantage estimate for learning the high-level policy is essential. In this paper, we propose a simple yet effective solution: Option-aware Temporally Abstracted value learning, dubbed OTA, which incorporates temporal abstraction into the temporal-difference learning process. By modifying the value update to be option-aware, our approach contracts the effective horizon length, enabling better advantage estimates even in long-horizon regimes. We experimentally show that the high-level policy learned using the OTA value function achieves strong performance on complex tasks from OGBench, a recently proposed offline GCRL benchmark, including maze navigation and visual robotic manipulation environments.","high","A2","1","A2=high","A2=Predicts or executes temporally extended action sequences or keypose-conditioned chunks to trade feedback frequency against longer-horizon control.","A2=Boundary and horizon choices determine the training unit, feedback latency, credit assignment, and compounding-error exposure in long-horizon robot learning.","A2=true","primary_assignment","Hongjoon Ahn, Heewoong Choi, Jisu Han, Taesup Moon","2025","arxiv:2505.12737","arxiv:2505.12737","2742337588664756215","cs.AI | cs.LG","options framework temporal abstraction reinforcement learning","search-papers","true","A2","false","false","false","false","A2/assigned-papers.json | A2/assigned-registry-inspected.json | A2/assigned-registry-inspected.jsonl | A2/canonical-pool.json | A2/canonical-pool.jsonl | A2/raw/q31-options.json | A4/canonical-registry.jsonl | A4/raw/q36-recent-offline.json | A5/canonical-pool.jsonl | A5/paper-registry.json","A2/assigned-abstracts.jsonl | A2/triage.jsonl"
"1210","arxiv:2505.20455","2","HIGH","A1 | A8","HAND Me the Data: Fast Robot Adaptation via Hand Path Retrieval","arxiv:2505.20455","We hand the community HAND, a simple and time-efficient method for teaching robots new manipulation tasks through human hand demonstrations. Instead of relying on task-specific robot demonstrations collected via teleoperation, HAND uses easy-to-provide hand demonstrations to retrieve relevant behaviors from task-agnostic robot play data. Using a visual tracking pipeline, HAND extracts the motion of the human hand from the hand demonstration and retrieves robot sub-trajectories in two stages: first filtering by visual similarity, then retrieving trajectories with similar behaviors to the hand. Fine-tuning a policy on the retrieved data enables real-time learning of tasks in under four minutes, without requiring calibrated cameras or detailed hand pose estimation. Experiments also show that HAND outperforms retrieval baselines by over 2x in average task success rates on real robots. Videos can be found at our project website: https://liralab.usc.edu/handretrieval/.","high","A1 | A8","2","A1=low | A8=high","A1=The abstract does not expose a clear temporal mechanism connected to the lane. | A8=Hand-path representations retrieve demonstrations with similar motion and contact structure for rapid adaptation to new manipulation tasks.","A1=Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training. | A8=It directly tests whether motion-level similarity is a useful selector for reusing prior robot data.","A1=false | A8=true","expansion_round_1 | expansion_round_2","","2025","arxiv:2505.20455 | paperid:5730221790891479445","arxiv:2505.20455","5730221790891479445","","2024 2025 robot data subsequence selection useful trajectories","related-citers","false","A1","false","false","false","true","A1/expansion-registry.json | A1/paper-registry-complete.json | A2/canonical-pool.json | A2/canonical-pool.jsonl | A2/raw/q42-2024-2025-subsequence.json | A8/work/expansion-round2-novel.jsonl","A1/expansion-triage.jsonl | A8/work/expansion-round2-triage.jsonl"
